"","Code","Country.Name","notzoo_EID_counts_binom","notzoo_EID_counts_pois","Ad_notzoo_EID_counts_pois","Agricultural_land","GDP","Population","Population_density","Popolation_growth","Precipitation","Livestock_density","Forest_coverage","Temperature","Aves_richness","Mammalian_richness","Im_counts","Ex_counts","Year","RE","RB","Im_counts_scaled","Ex_counts_scaled","Mammalian_richness_scaled","Aves_richness_scaled","Temperature_scaled","Livestock_density_scaled","Precipitation_scaled","Population_density_scaled","GDP_scaled","GDP_p_c","GDP_p_scaled","Popolation_growth_scaled","Forest_coverage_scaled","Agricultural_land_scaled"
"1",8,"Argentina",1,1,47,46.99326559,3.78e+11,37885028,13.69555668,1.09917146,591,0.31,12.08,15.06,1041,408,6045.25,117021.878,2001,81,2.13804778,-0.451464048,0.260029477,0.457032255,0.457254317,0.096161089,-0.505686256,-0.646775233,-0.663025418,-0.646761918,9977.556305,-0.708346931,-0.034249938,-1.055512043,0.027106859
"2",11,"Australia",1,1,6,60.65943793,6.31e+11,17478635,2.275182563,1.119597701,534,0.08,17.37,21.68,833,374,411.766,1024.532,1992,312,17.22409693,-0.476452539,-0.258493833,0.269418652,-0.102250929,0.971193955,-0.84792212,-0.736796918,-0.74296537,-0.595292003,36101.21729,0.761323282,-0.008759536,-0.716831621,0.789657723
"3",11,"Australia",1,1,6,59.89052758,6.57e+11,17634808,2.2955115,0.889539826,534,0.08,17.35,21.91,833,374,502.538,297.75,1993,312,17.22409693,-0.476049901,-0.261742643,0.269418652,-0.102250929,1.001595399,-0.84792212,-0.736796918,-0.742823072,-0.590002605,37255.86352,0.826281604,-0.29585434,-0.718112077,0.746753738
"4",11,"Australia",1,1,6,61.06803952,6.83e+11,17805468,2.317726202,0.963092495,534,0.08,17.32,21.84,833,374,190.376,372.5,1994,312,17.22409693,-0.477434561,-0.261408501,0.269418652,-0.102250929,0.992342786,-0.84792212,-0.736796918,-0.742667574,-0.584713206,38359.00298,0.888342247,-0.20406618,-0.720032759,0.812457047
"5",11,"Australia",1,1,7,59.31817294,8.91e+11,19274701,2.508975307,1.283968091,534,0.07,17.13,21.48,833,374,382.587,313.878,2001,312,16.18702153,-0.476581969,-0.261670549,0.269418652,-0.102250929,0.944757917,-0.86280194,-0.736796918,-0.741328875,-0.542398019,46226.39801,1.330947751,0.196362262,-0.732197085,0.714817251
"6",11,"Australia",1,1,7,58.1856996,9.27e+11,19495210,2.53767882,1.137538736,534,0.08,17.1,22.16,833,374,499.063,140.66,2002,312,16.00393122,-0.476065315,-0.262444856,0.269418652,-0.102250929,1.034640447,-0.84792212,-0.736796918,-0.741127957,-0.535074237,47550.1418,1.405419198,0.013629517,-0.734117768,0.651627025
"7",12,"Austria",1,1,14,38.08652448,1.89e+11,7549425,91.48600339,-0.170463648,1110,1.13,NA,6.21,412,102,3995,800,1979,59,7.417983622,-0.460558359,-0.25949752,-1.231490172,-1.234711065,-1.073633603,0.714458998,0.1728959,-0.11851046,-0.685211776,25035.01922,0.138758869,-1.618658394,NA,-0.469875249
"8",14,"Bahamas, The",1,1,1,1.298701299,10925284736,338490,33.81518482,1.334756884,1292,2.58,50.94,25.11,326,43,248,4,2003,1,2.954297025,-0.477178958,-0.263055744,-1.557054953,-1.466044964,1.424572011,2.872032922,0.460333561,-0.52219272,-0.721439011,32276.53619,0.546153598,0.259742829,1.432412565,-2.522577765
"9",16,"Bangladesh",1,1,148,72.87393409,79267885586,126754824,973.7637244,1.915074298,2666,1.71,14.75,26.1,663,159,2,4,1999,86,0.678475164,-0.478270142,-0.263055744,-0.916961484,-0.55953887,1.5554304,1.577488568,2.63032997,6.057227517,-0.707535501,625.3638567,-1.234484469,0.98393501,-0.884571263,1.471207345
"10",27,"Brazil",1,1,45,28.7269895,7.75e+11,133888775,16.01896774,2.198485778,1782,0.44,NA,24.85,1864,710,155.25,82,1984,371,2.251670261,-0.47759037,-0.262707074,2.123482493,2.671065937,1.390205161,-0.312248594,1.234204187,-0.646762083,-0.565996874,5788.386666,-0.944022085,1.337611072,NA,-0.99212254
