"","Code","Country.Name","zoo_EID_counts_binom","zoo_EID_counts_pois","Ad_zoo_EID_counts_pois","Agricultural_land","GDP","Population","Population_density","Popolation_growth","Precipitation","Livestock_density","Forest_coverage","Temperature","Aves_richness","Mammalian_richness","Im_counts","Ex_counts","Year","RE","RB","Im_counts_scaled","Ex_counts_scaled","Mammalian_richness_scaled","Aves_richness_scaled","Temperature_scaled","Livestock_density_scaled","Precipitation_scaled","Population_density_scaled","GDP_scaled","GDP_p_c","GDP_p_scaled","Popolation_growth_scaled","Forest_coverage_scaled","Agricultural_land_scaled"
"1",8,"Argentina",1,1,45,46.8237177,3.68e+11,35815971,12.93144711,1.260410588,591,0.33,12.46,14.99,1041,408,2978.6404,43159,1996,81,2.261560911,-0.361898883,0.196468998,0.572872336,0.51143338,0.070188972,-0.521991043,-0.698973185,-0.613923192,-0.613760881,10274.74587,-0.777238354,0.038614312,-0.998001494,0.123585668
"2",11,"Australia",1,1,6,63.97953738,4.18e+11,14192000,1.84736342,1.12667268,534,0.09,NA,21.59,833,374,444.128,74,1977,312,17.22409693,-0.370392955,-0.713073177,0.393106213,0.009057262,0.881716945,-0.944163665,-0.797600826,-0.684431798,-0.601978955,29453.21308,0.304612486,-0.092502615,NA,1.018375411
"3",11,"Australia",1,3,18,64.51687646,4.52e+11,14692000,1.912448095,1.21894271,534,0.08,NA,22.31,833,374,504.396,103,1980,312,17.22409693,-0.370190975,-0.712460975,0.393106213,0.009057262,0.970247269,-0.961754191,-0.797600826,-0.684017778,-0.593967245,30765.0422,0.378612323,-0.002040883,NA,1.046401206
"4",11,"Australia",1,1,6,59.89052758,6.57e+11,17634808,2.2955115,0.889539826,534,0.08,17.35,21.91,833,374,502.538,297.75,1993,312,17.22409693,-0.370197201,-0.708349722,0.393106213,0.009057262,0.921063756,-0.961754191,-0.797600826,-0.681581016,-0.545661346,37255.86352,0.744757355,-0.324988165,-0.744369003,0.805106439
"5",11,"Australia",1,1,6,61.06803952,6.83e+11,17805468,2.317726202,0.963092495,534,0.08,17.32,21.84,833,374,190.376,372.5,1994,312,17.22409693,-0.37124337,-0.706771718,0.393106213,0.009057262,0.912456641,-0.961754191,-0.797600826,-0.681439703,-0.539534744,38359.00298,0.806985079,-0.252876973,-0.74592503,0.866521493
"6",11,"Australia",1,1,6,60.55868685,7.37e+11,18224767,2.37230608,1.213854983,534,0.08,17.27,22.03,833,374,269.548,173.532,1996,312,17.11956043,-0.370978036,-0.710972015,0.393106213,0.009057262,0.93581881,-0.961754191,-0.797600826,-0.681092507,-0.526810263,40439.47448,0.924343772,-0.007028901,-0.74851841,0.839955375
"7",11,"Australia",1,1,6,60.16856931,7.65e+11,18423037,2.398114757,1.08203992,534,0.08,17.24,21.72,833,374,405.393,661.096,1997,312,16.93531854,-0.37052277,-0.700679337,0.393106213,0.009057262,0.897701587,-0.961754191,-0.797600826,-0.680928332,-0.520212384,41524.09833,0.985527036,-0.136260667,-0.750074437,0.819608158
"8",11,"Australia",1,1,7,51.85367663,1.1e+12,20827622,2.711118025,1.824996795,534,0.08,16.95,21.99,833,374,342.293,298,2007,312,14.98010671,-0.370734241,-0.708344444,0.393106213,0.009057262,0.930900458,-0.961754191,-0.797600826,-0.67893724,-0.441273477,52814.47877,1.622413573,0.59213582,-0.765116037,0.385931376
"9",11,"Australia",1,1,8,50.38543145,1.26e+12,22733465,2.95920037,1.745820001,534,0.09,17.05,21.75,833,374,545.644,171.128,2012,312,13.72426069,-0.370052738,-0.711022765,0.393106213,0.009057262,0.90139035,-0.944163665,-0.797600826,-0.677359127,-0.403571312,55424.89893,1.76966649,0.514510724,-0.759929278,0.309352655
"10",19,"Belgium",1,1,12,44.48507008,2.4e+11,9858982,300.3955515,-0.002637154,847,3.03,NA,9.43,429,94,14748.836,58052.384,1981,85,8.377096009,-0.322452681,0.510874496,-1.087320681,-0.966711738,-0.613461865,4.227450952,-0.256013954,1.214707265,-0.643922613,24343.28412,0.016363125,-1.199680357,NA,0.001609689
"11",24,"Bolivia",1,1,29,33.80134773,19328918118,9377388,8.507596234,1.739170274,1146,0.21,50.12,20.85,1447,383,3,404,2004,33,3.519103614,-0.371871335,-0.70610674,0.440691363,1.49203292,0.790727445,-0.733077354,0.261348586,-0.642064405,-0.695921223,2061.22623,-1.240560215,0.507991318,0.955331761,-0.555617266
"12",27,"Brazil",1,1,45,28.7269895,7.75e+11,133888775,16.01896774,2.198485778,1782,0.44,NA,24.85,1864,710,155.25,82,1984,371,2.251670261,-0.37136109,-0.712904294,2.169618486,2.499200427,1.28256258,-0.328495258,1.361825426,-0.594282708,-0.517855999,5788.386666,-1.030312357,0.958305207,NA,-0.820278692
"13",27,"Brazil",1,1,45,28.27420933,9.59e+11,148003411,17.70769705,1.87515726,1782,0.52,NA,24.77,1864,710,647.226,785.064,1989,371,2.251670261,-0.369712299,-0.698062322,2.169618486,2.499200427,1.272725877,-0.187771051,1.361825426,-0.583540282,-0.474498509,6479.580393,-0.991322353,0.641313246,NA,-0.84389418
"14",27,"Brazil",1,1,45,28.104339,9.17e+11,150706446,18.03109855,1.809855764,1782,0.55,70.46,25.12,1864,710,2469,398,1990,371,2.251670261,-0.363606873,-0.706233403,2.169618486,2.499200427,1.315761452,-0.134999473,1.361825426,-0.581483045,-0.484395328,6084.676697,-1.013598737,0.577291522,2.010318442,-0.852754044
"15",27,"Brazil",1,1,45,27.25546593,1.07e+12,163515328,19.56360243,1.562366948,1782,0.61,68.2,25.27,1864,710,27317.509,755,1995,371,2.268900442,-0.280330491,-0.698696985,2.169618486,2.499200427,1.334205269,-0.029456317,1.361825426,-0.571734408,-0.448342633,6543.729038,-0.98770375,0.334652964,1.893097699,-0.897028403
"16",27,"Brazil",1,1,45,27.267873,1.09e+12,166037122,19.86531956,1.530465468,1782,0.58,67.74,25.05,1864,710,10715.037,390.064,1996,371,2.234440079,-0.335971407,-0.706400935,2.169618486,2.499200427,1.307154337,-0.082227895,1.361825426,-0.56981511,-0.443629862,6564.796998,-0.986515313,0.303376686,1.86923861,-0.896381292
"17",27,"Brazil",1,1,48,27.31750126,1.19e+12,175873720,21.04220796,1.36677133,1782,0.62,65.93,25.09,1864,710,526.996,161,2000,371,2.109468089,-0.370115234,-0.711236571,2.169618486,2.499200427,1.312072688,-0.011865792,1.361825426,-0.562328631,-0.420066009,6766.218398,-0.9751532,0.142890608,1.775358281,-0.893792849
"18",32,"Burundi",1,1,60,79.32242991,2100894458,5930507,231.0273754,6.015690692,1274,0.19,9.16,20.59,634,174,0,12,1995,10,1.686196475,-0.371881389,-0.714382022,-0.664341569,-0.471581429,0.758758161,-0.768258406,0.482828202,0.773439094,-0.699980809,354.252083,-1.336850049,4.700700953,-1.169164525,1.818608982
"19",35,"Cameroon",1,2,72,19.48975059,21594980961,16809407,36.54496626,2.733159813,1604,0.49,44.95,24.97,951,362,7,13176.914,2005,47,2.796053424,-0.371857929,-0.436465242,0.329659346,0.294059098,1.297317634,-0.240542628,1.053830336,-0.463711741,-0.695387251,1284.69618,-1.284364012,1.482500758,0.687176346,-1.302061946
"20",36,"Canada",1,1,8,6.83613683,7.01e+11,24819915,2.768352668,1.233397255,537,0.26,NA,-3.02,615,212,121881.8126,99665.97,1981,375,12.73108625,0.036588846,1.389354512,-0.46342649,-0.517471555,-2.144298723,-0.645124724,-0.792409898,-0.678573157,-0.53529325,28243.44886,0.236370097,0.012130384,NA,-1.962031799
"21",36,"Canada",1,1,8,6.848071348,8.91e+11,28684764,3.199428482,1.098930879,537,0.25,38.83,-4.63,615,212,28367.0064,113577.5,1993,375,12.73108625,-0.276813244,1.683032665,-0.46342649,-0.517471555,-2.342262364,-0.66271525,-0.792409898,-0.675830976,-0.49052193,31061.78597,0.395351539,-0.119700735,0.369746725,-1.961409335
"22",36,"Canada",1,1,8,6.832902241,9.56e+11,29302311,3.268308165,1.034769484,537,0.28,38.82,-4.43,615,212,36547.389,83878.314,1995,375,12.79762542,-0.24939781,1.056070562,-0.46342649,-0.517471555,-2.317670608,-0.609943672,-0.792409898,-0.675392816,-0.475205425,32625.41306,0.483555213,-0.182604702,0.369228049,-1.962200504
"23",36,"Canada",1,1,10,6.443636169,1.47e+12,34714222,3.871939493,1.085817263,537,0.31,38.73,-3.53,615,212,66850.978,121227.357,2012,375,10.80248896,-0.147839474,1.844524312,-0.46342649,-0.517471555,-2.207007702,-0.557172095,-0.792409898,-0.671552967,-0.35408722,42345.75673,1.031876508,-0.132557352,0.364559966,-1.982503311
"24",41,"China",1,1,169,51.84913636,8.53e+11,1084035000,115.0210034,1.603605087,645,0.39,NA,7.17,1329,614,31536.576,66052.532,1987,717,0.591989938,-0.266190865,0.67976093,1.662043551,1.207031083,-0.891348716,-0.416447887,-0.605536472,0.035493793,-0.499476194,786.8749625,-1.312445939,0.375082923,NA,0.385694571
